Job Title,Company Name,Link,Location,Qualifications
Staff Data Scientist,Nana -,https://wuzzuf.net/jobs/p/DbhaD7c2U1bE-Staff-Data-Scientist-Nana-Cairo-Egypt?o=1&l=sp&t=sj&a=data scientist|search-v3|hpb,"Sheraton, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Machine Learning · Software Development · Software Engineering · Data · data scientist
Data Scientist & BI Developer,Easy System -,https://wuzzuf.net/a/Experienced-Jobs-in-Egypt,"Mokattam, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Data Science · Information Technology (IT) · Data · Computer Science · Oracle Obiee · Microsoft Power BI · Power BI
Lead Data Scientist,Confidential -,https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt,"Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data · Data Science · Engineering · Machine Learning · SQL · Statistics
Data Scientist,B.Tech -,https://wuzzuf.net/a/Analyst-Research-Jobs-in-Egypt,"Nasr City, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Data Science · Statistics · SQL · MySQL
Research Scientist,Confidential -,https://wuzzuf.net/a/Engineering-Telecom-Technology-Jobs-in-Egypt,"Cairo, Egypt ",Entry Level · R&D/Science · IT/Software Development · Data Science · optimization · python
Data Engineer,Paymob Solutions -,https://wuzzuf.net/jobs/p/i0p1MSNfwMyF-Data-Scientist-BI-Developer-Easy-System-Cairo-Egypt?o=2&l=sp&t=sj&a=data scientist|search-v3|hpb,"Maadi, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Cloud · AWS · Computer Engineering · Data · Scala · Information Technology (IT) · Computer Science
Business Intelligence Developer,Maxab -,https://wuzzuf.net/a/Experienced-Jobs-in-Egypt,"Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · Business Development · Business Development · Tableau · Business Intelligence · Data Analysis · Python
Full Stack Java Developer (Remotely for USA),Mobile Wave 3 -,https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt,"Nasr City, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Java · JavaScript · React · CSS · Python · jQuery
Senior Data Engineer,LINK Development -,https://wuzzuf.net/a/Engineering-Telecom-Technology-Jobs-in-Egypt,"Maadi, Cairo, Egypt ",Work From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AWS · Big Data · Cloud · Software Development · Computer Science · Engineering · Java
.Net Full Stack Developer,Nile University -,https://wuzzuf.net/jobs/p/LfJgZ3kjVe9f-Lead-Data-Scientist-Cairo-Egypt?o=3&l=sp&t=sj&a=data scientist|search-v3|hpb,"6th of October, Giza, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · jQuery · MVC · Computer Science · Software Development · Angular · javaScript · Web Development · SQL
Content Technical Writer (Remotely for USA),Mobile Wave 3 -,https://wuzzuf.net/a/Experienced-Jobs-in-Egypt,"Nasr City, Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Engineering - Telecom/Technology · English · Marketing · Social Media · Technical Writing · Software · Documentation · writer
PHP WordPress & Woocommerce Plugin Developer,Impression Analytics LLC -,https://wuzzuf.net/a/IT-Software-Development-Jobs-in-Egypt,"Maadi, Cairo, Egypt ",Freelance / ProjectWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · javaScript · HTML · PHP · SQL · WordPress · E-Commerce
Senior Full Stack Developer (NodeJS/React),Standout Solutions -,https://wuzzuf.net/a/Analyst-Research-Jobs-in-Egypt,"New Cairo, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Compuer Science · IT · Information Technology · Full Stack Developement · Firebase · MySQL · Oracle
Clinical Research Associate (CRA),Pharmagene -,https://wuzzuf.net/a/Engineering-Telecom-Technology-Jobs-in-Egypt,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Analyst/Research · Pharmaceutical · CRA · Research · Clinical Research · Pharmacy · Pharmaceutical · Chemistry · In Vitro · In Vivo
