Laptop Name,Price,Laptop Link
DELL Vostro 3510 Core i7-1165G7-8GB-1TB-MX350-2GB GDDR5-15.6 FHD-DOS-Black,12999,https://compuscience.com.eg/en/laptop/2093-dell-vostro-3510-core-i7-1165g7-8gb-1tb-mx350-2gb-gddr5-156-dos-black.html
ASUS TUF Dash F15 FX516PC-HN001T i7-11370H-8GB-SSD 512GB-RTX3050 4GB-15.6 inch FHD 144Hz-Win10-Eclips Gray-Gaming Mouse,20499,https://compuscience.com.eg/en/laptop/2092-asus-tuf-dash-f15-fx516pc-hn001t-i7-11370h-8gb-ssd-512gb-rtx3050-4gb-156-inch-fhd-144hz-win10-eclips-gray-gaming-mouse.html
ASUS ROG Strix G17 G713QR-SE96 AMD Ryzen 9 5900HX-32GB-SSD 1TB-RTX3070-8GB-17.3 WQHD 165Hz-Win10-Eclipse Grey,42499,https://compuscience.com.eg/en/laptop/2091-asus-rog-strix-g17-g713qr-se96-amd-ryzen-9-5900hx-32gb-ssd-1tb-rtx3070-8gb-173-wqhd-165hz-win10-eclipse-grey.html
ASUS TUF A15 FA506IC-HN018T AMD R7-4800H-16GB-SSD 512GB-RTX3050Ti-4GB-15.6 FHD 144Hz-Win10-Gray,19799,https://compuscience.com.eg/en/laptop/2090-asus-tuf-a15-fa506ic-hn018t-amd-r7-4800h-16gb-ssd-512gb-rtx3050ti-4gb-156-fhd-144hz-win10-gray.html
Dell Inspiron G15-N5511 i7-11800H-16GB-SSD 512GB-RTX3060-6GB-15.6 FHD-DOS-Shadow Grey-Gaming Mouse,23499,https://compuscience.com.eg/en/laptop/2089-dell-inspiron-g15-n5511-i7-11800h-16gb-ssd-512gb-rtx3060-6gb-156-fhd-dos-shadow-grey-gaming-mouse.html
Dell Inspiron G15-N5510 i5-10500H-8GB-SSD 512GB-GTX1650-4GB-15.6 FHD-DOS-Black+Gaming Mouse,15599,https://compuscience.com.eg/en/laptop/2088-dell-inspiron-g15-n5510-i5-10500h-8gb-ssd-512gb-gtx1650-4gb-156-fhd-dos-blackgaming-mouse.html
Lenovo IdeaPad Gaming 3 i7-11370H-16GB-SSD 512GB-RTX3050-4G-15.6 FHD IPS-Windows 10-PHANTOM-BLACK-Gaming Mouse,20999,https://compuscience.com.eg/en/laptop/2087-lenovo-ideapad-gaming-3-i7-11370h-16gb-ssd-512gb-rtx3050-4g-156-fhd-ips-windows-10-phantom-black-gaming-mouse.html
Lenovo IdeaPad Gaming 3 AMD R5-5600H-8GB-SSD 512GB-GTX1650-4G-15.6 FHD IPS-Windows 10-BLACK,15999,https://compuscience.com.eg/en/laptop/2086-lenovo-ideapad-gaming-3-amd-r5-5600h-8gb-ssd-512gb-gtx1650-4g-156-fhd-ips-windows-10-black.html
Lenovo IdeaPad Gaming 3 AMD R7-5800H-16GB-1TB+SSD 256GB-RTX3050-4G-15.6 FHD IPS-Dos-BLACK,20999,https://compuscience.com.eg/en/laptop/2084-lenovo-ideapad-gaming-3-amd-r7-5800h-16gb-1tbssd-256gb-rtx3050-4g-156-fhd-ips-dos-black.html
Lenovo IdeaPad Gaming 3 i5-10300H-8GB-1TB-SSD 256GB-GTX1650-4GB-Windows 10-Onyx Black-Gaming Mouse,15999,https://compuscience.com.eg/en/laptop/2083-lenovo-ideapad-gaming-3-i5-10300h-8gb-1tb-ssd-256gb-gtx1650-4gb-windows-10-onyx-black-gaming-mouse.html
